"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Density_5","Density_6","Density_7","Density_8","Density_9","Density_10","Momentum_x","Momentum_y","Energy","Energy_ve","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
4402, 2.292163017824567e-01, 8.773376121169130e-02, 3.807385342623928e-12, 6.086316115051746e-14, 1.802695039147391e-11, 2.072101890278776e-07, 3.346533059563463e-12, 4.972364411220927e-10, 2.753975306610108e-05, 2.741152934116572e-03, 1.540483165300956e-03, 1.728781098101172e-02, 1.231333831359948e-03, 7.114984869078468e+01, 7.209385847051468e+01, 3.589313434208132e+05, 1.860374179189300e+04, 3.235134622394536e+04, 4.420281224261708e+03, 4.557755547076236e+03, 3.116707632302147e+03, 3.158059828260273e+03, 3.112299073565572e+00, 1.445365126379687e+00, 2.431549560117648e+06, -1.870295986225456e+06, 1.531735223831340e+06
4476, 2.395243380547313e-01, 9.803359218509550e-02, 1.588794468985627e-12, 3.392503264521602e-15, 3.549634954131051e-12, 8.657812462659610e-08, 3.602744415967653e-13, 9.850843901642084e-11, 9.554386922889585e-06, 1.917066514136858e-03, 1.061601221649887e-03, 1.208857743832142e-02, 8.645346088430202e-04, 5.142832370393138e+01, 5.158396594843268e+01, 2.528700835750962e+05, 1.115422378812714e+04, 2.036706597371847e+04, 3.986746756912913e+03, 4.105684133473365e+03, 3.226081550782811e+03, 3.235844936741076e+03, 3.375706142764633e+00, 9.034085824634783e-01, 1.040703491769191e+06, -1.957857819629501e+05, 1.809268066349635e+05
4477, 2.354945224501510e-01, 9.400698435361138e-02, 2.001851880643369e-12, 7.583183749831841e-15, 5.925402700311217e-12, 1.090666621753626e-07, 6.502846159520835e-13, 1.425080485875708e-10, 1.244829942945379e-05, 2.027145246334820e-03, 1.128352158131811e-03, 1.280424826458616e-02, 9.181483567407464e-04, 5.371112511609712e+01, 5.498341148599543e+01, 2.676684463913349e+05, 1.237276838191472e+04, 2.183516041006871e+04, 4.034232532012104e+03, 4.234482057653056e+03, 3.179969758619379e+03, 3.255295534645018e+03, 3.342296152992194e+00, 9.697991683188056e-01, 7.609192320884363e+05, -3.895834844409520e+05, 6.652778638572515e+05
4478, 2.374251109405689e-01, 9.593603607648776e-02, 1.763325860614352e-12, 4.819029107150645e-15, 4.554508622057453e-12, 9.608373608603063e-08, 4.706592382103268e-13, 1.134786048503418e-10, 1.066234630620260e-05, 1.949321951054777e-03, 1.082146973108895e-03, 1.229996708727834e-02, 8.803562921577933e-04, 5.214434418177749e+01, 5.255010777301224e+01, 2.572725405526958e+05, 1.158059023064039e+04, 2.078319832301897e+04, 3.997796030652459e+03, 4.161345604513276e+03, 3.214312265151361e+03, 3.239324582566094e+03, 3.366783932708946e+00, 9.222270384015695e-01, 7.709344965707477e+05, 9.486586818277767e+04, 2.674388137408755e+05
4498, 2.247263668430166e-01, 8.324740030489064e-02, 5.562582944347191e-12, 1.976542752741037e-13, 3.445279090987238e-11, 3.024429848798478e-07, 8.613786084617836e-12, 1.015752513216051e-09, 4.308582061052181e-05, 3.202198308000480e-03, 1.812136580109329e-03, 2.027077439985782e-02, 1.456182218932610e-03, 8.230647814725285e+01, 8.300984783477476e+01, 4.190259875334126e+05, 2.326869467399172e+04, 4.006545173614693e+04, 4.665953094947208e+03, 4.764662476353505e+03, 3.072893743033562e+03, 3.099153891207546e+03, 2.979720439353501e+00, 1.794214608827210e+00, 1.901275355720533e+06, -1.514920635550918e+06, 1.391732586798670e+06
4500, 2.229759888227050e-01, 8.149841560280313e-02, 6.514363541584959e-12, 3.214646897316333e-13, 4.476308566313545e-11, 3.540069016980502e-07, 1.274065740146128e-11, 1.375101438932348e-09, 5.194725117114714e-05, 3.421372638731232e-03, 1.941494857952364e-03, 2.170641155261601e-02, 1.568043982052427e-03, 8.748621528895298e+01, 8.822435637108076e+01, 4.477833097878873e+05, 2.559648635840994e+04, 4.395902789650205e+04, 4.779731478375951e+03, 4.854098422865943e+03, 3.049402460518308e+03, 3.075130962141287e+03, 2.921475014841848e+00, 1.970291021868423e+00, 1.631038357353442e+06, -1.258137977739002e+06, 1.159123072414003e+06
4503, 2.177516969407601e-01, 7.627828230889039e-02, 8.313096457813003e-12, 6.764391544955117e-13, 6.842653991784305e-11, 4.513209026118346e-07, 2.363599927280177e-11, 2.185619938711341e-09, 6.801316845880951e-05, 3.712791487098498e-03, 2.114517911053099e-03, 2.373102102772337e-02, 1.748255287659445e-03, 9.497497502318913e+01, 9.490206546411430e+01, 4.879441983522390e+05, 2.920611000219481e+04, 4.982655550835514e+04, 4.956052325752845e+03, 4.998943290514148e+03, 3.027085773155859e+03, 3.024761966395724e+03, 2.835685600342809e+00, 2.235634031165341e+00, 4.844186625684659e+05, -3.273584725069685e+05, 5.181298546964118e+05
5907, 2.816208149574442e-01, 1.400965598756510e-01, 1.281865786110831e-12, 4.509892366246653e-15, 1.900507247467740e-12, 6.981723940043730e-08, 2.723398935594722e-13, 1.192055803705005e-10, 1.329137956824255e-05, 2.243882826596607e-03, 1.196389704913737e-03, 1.388203335965980e-02, 9.603152759954475e-04, 5.824988161659306e+01, 5.819111164450774e+01, 2.888003610856586e+05, 1.324834270162294e+04, 2.479415155239785e+04, 4.220081195969381e+03, 4.210710704282235e+03, 3.183752589353114e+03, 3.180540410278924e+03, 3.227384771771120e+00, 1.103611510778422e+00, 1.622278565095784e+06, -1.643756737247770e+06, 1.730265092395602e+06
5908, 2.772000755754640e-01, 1.356793394459619e-01, 1.207649144003599e-12, 3.780257373472870e-15, 1.679800424558296e-12, 6.577758965667758e-08, 2.355857229997609e-13, 1.097947323583944e-10, 1.250236622587938e-05, 2.200981185199769e-03, 1.179958930241309e-03, 1.369356044516781e-02, 9.596306079567879e-04, 5.756904397804273e+01, 5.750788515253821e+01, 2.849960026819088e+05, 1.297607587881215e+04, 2.432577958020613e+04, 4.200006869662603e+03, 4.188056650039463e+03, 3.190004034606286e+03, 3.186615114335425e+03, 3.242525546618461e+00, 1.082430659695484e+00, 1.834147241703401e+06, -1.917474846510589e+06, 2.043828269694469e+06
6464, 2.860415543394000e-01, 1.445137803053158e-01, 1.346708195734488e-12, 5.122927728189019e-15, 2.088697869351038e-12, 7.334795759681807e-08, 3.021201047000408e-13, 1.260398560210414e-10, 1.392278699604996e-05, 2.281278875320722e-03, 1.209633144739401e-03, 1.403081613018144e-02, 9.572173105857085e-04, 5.879031881013083e+01, 5.873949665150737e+01, 2.918271514710205e+05, 1.344840793606219e+04, 2.514325730081670e+04, 4.231366627012252e+03, 4.225693072369638e+03, 3.179067975370461e+03, 3.176319783147846e+03, 3.217366413320710e+00, 1.119398870630155e+00, 2.191035970780760e+06, -2.155233836704765e+06, 2.153266358373825e+06
